Controle|Código|Produto|Fabricante|Preço Custo|Preço Venda|Lucro|Quantidade|Unidade|Obs|NCM|IPI|CST|ICMS|Base Cálculo|iva_st|cean|ceantrib
609|7899612726742|BROCA PARA CONCRETO 8 X 120 MTX|MTX|3.9|9|130.77|3|UN||82075011|0|500|1.36|100|0|7899612726742|7899612726742
610|7899206165049|CHAVE P/TESTE BESTFER AC/DC 12-220V|BESTFER|4.9|9.9|102.04|2|UN||90303390|0|500|1.36|100|0|7899206165049|7899206165049
611|7899206166770|JOGO DE CHAVA COMBINADA C/6 PCS|BESTFER|11.9|23.8|100|1|CART||85131010|0|500|1.36|100|0|7899206166770|7899206166770
612|7898943364661|CHAVE PHILLIPS 1/4X6 MELFI 10642|BESTFER|5.9|9.9|67.8|2|UN||82041100|0|500|1.36|100|0|7898943364661|7898943364661
613|7898943364975|CHAVE PHILLIPS 3/16X6 MELFI VERDE 10647|MELFI|4.02|8|99|-1|UN||68042119|0|500|1.36|100|0|7898943364975|7898943364975
614|7898195644498|INTERRUPTOR PERA BRANCA 10A/250V RADIAL|RADIAL|3.9|5.9|51.28|8|UN||85365090|0|500|1.36|100|0|7898195644498|7898195644498
615|7897852600037|ROLO LA - 23cm - REDAN S/CABO  NATURAL|REDAM|4.8|10.8|125|6|UN||96034010|0|500|1.36|100|0|7897852600037|7897852600037
616|7897613526033|ESPATULA CABO MADEIRA 8 COMPEL|COMPEL|4.41|6.9|56.46|5|UN||82055900|0|500|1.36|100|0|7897613526033|7897613526033
617|7897937400248|NIVEL MADEIRA 30 CM MOMFORT 12''|MOMFORT|12|22.8|90|2|UN||90153000|0|500|1.36|100|0|7897937400248|7897937400248
618|7897613526026|ESPATULA 06 CB MADEIRA REF 1040 COMPEL|compel|3.5|5.5|57.14|4|UN||82055900|0|500|1.36|100|0|7897613526026|7897613526026
620|7897356517268|TOMADA ADAP. FRONTAL DUPLA|FC|3.04|5.9|94.08|2|UN||85177099|0|500|1.36|100|0|7897356517268|7897356517268
621|7898195649639|TOMADA P/TELEFONE PADRAO RADIAL|radial|3.29|5.9|79.33|2|UN||85366910|0|500|1.36|100|0|7898195649639|7898195649639
622|7898122760055|CREOLINA DESINFETANTE 900ML LINHAL|LINHAL|8.9|16|79.78|4|UN||38089419|0|500|1.36|100|0|7898122760055|7898122760055
623|000191|JUNCAO ESG 50X50MM  KRONA/ FORTLEV ||7.99|14.8|85.23|40|UN||39174090|0|500|1.36|100|0||
624|000192|ANEL VEDAÇÃO DN 50 ESGOTO|LOUZADA|0.41|1.5|265.85|60|||40169300|0|500|1.36|100|0||
625|000193|ANEL DN 75 KRONA||0.9|1.8|100|-41|||40169300|0|500|0|100|0||
626|000194|TEE ESG. REDUÇÃO  100X50  KRONA||6.8|12.8|88.24|-21|||39174090|0|500|1.36|100|0||
627|000195|PU USO GERAL GMFLEX 380G|GMFLEX|11.5|24.8|115.65|-6|UN|||0|500|1.36|100|0||
628|7899206168972|LAVA LATEX AMARELA  BESTFER|BESTFER|2.9|5.5|89.66|9||||0|500|1.36|100|0|7899206168972|7899206168972
629|7898943819988|TORNEIRA CROMADA PAREDE DOAN|DOAN|16.9|36|113.02|-12|UN||84818099|0|500|1.36|100|0||
630|000196|ARAME GALVANIZADO 1KG|||20.8|0|-8|UN||73130000|0|500|1.36|100|0||
631|7898444102892|PINO FEMEA 20A 2P+T MEC-TRONIC|MEC TRONIC|3.2|6|87.5|-12|UN||85366910|0|500|1.36|100|0|7898444102892|7898444102892
632|000197|CURVA ESG  50X45°MM KRONA/FORTLEV |KRONA|2.99|5|67.22|150|PÇ||39174090|0|500|1.36|100|0||
633|000198|PINO MACHO 10A MEC-TRONIC||2.8|4.5|60.71|-12||||0||0|100|0||
634|000199|MANTA ALUMINIO 10CM||2|5|150|-32|MT||68071000|0|500|1.36|100|0||
635|200|ARGAMASSA EXTERNA 20KG VOTORAN|VOTORAN|11.68|18.9|61.82|-84|UN||32149000|0|500|1.36|100|0||
637|7896516463049|MASSA CORRIDA IRAJA PVA 1/4|IRAJA|8.12|14.5|78.57|2|UN||32141020|0|500|1.36|100|0|7896516463049|7896516463049
638|7898414113408|TORNEIRA JARDIM CURTA 3/4X1/2 FURKIN|furkin|16.49|24.8|50.39|-2|UN||84818019|0|500|1.36|100|0|7898414113408|7898414113408
639|7898414113392|TORNEIRA JARDIIM AMARELA 3/4X1/2 FURKIN|Furkin|13.99|21.9|56.54|5|PC||84818019|0|500|1.36|100|0|7898414113392|7898414113392
640|7898584926044|TORNEIRA BICA MOVEL PAREDE C31 FURKIN 1/4  VOLTA|Furkin|24.49|44.8|82.93|-2|UN||84818019|0|500|1.36|100|0|7898584926044|7898584926044
641|7896603879067|FITA CREPE 48MMX50M 3M|3M|8.9|13.5|51.69|9|UN||48114110|0|500|1.36|100|0|7891040219285|7891040219285
644|7897451460513|ESPAÇADOR DE PISO 3MM CORTAG 100PÇS|Juntalider|2.5|4.8|92|4|PC||39259000|0|500|1.36|100|0|7897451460513|7897451460513
645|7897451465563|ESPACADOR DE PISO 4MM C/100PÇS CORTAG|CORTAG|2.5|4.5|80|6|PC||39259090|0|500|1.36|100|0|7897451465563|7897451465563
646|7898542002247|EXTENSAO 2X0,75 PARALELO 3MT  ILUMI|ILUMI|9.73|15.8|62.38|-2|UN||85444200|0|500|1.36|100|0|7898542002247|7898542002247
647|7898542002261|EXTENSAO FLEX PARALELO 5MT ILUMI|ILUMI|9.73|17.9|83.97|-1|UN||85444200|0|500|1.36|100|0|7898542002261|7898542002261
648|7898542002285|EXTENSAO FLEX PARALELO 10MTS BR 17931 ILUMI|ILUMI|26|43.9|68.85|1|UN||85444200|0|500|1.36|100|0|7898542002285|7898542002285
649|7898958277840|FILTRO DE LINHA ELITE 5 TOMADAS|ELITE|10.32|23.8|130.62|2|UN||85363000|0|500|1.36|100|0|7898958277840|7898958277840
650|7898948505458|VALVULA 1609 MET. AMER. 1.1/2  SUPER .METAIS|SUPER METAIS|10.43|22.9|119.56|2|UN||84818099|0|500|1.36|100|0|7898948505458|7898948505458
651|7898472261776|ARALDITE HOBBY 10MIN TEKBOND|TEK BOND|15.75|24.8|57.46|3|PC||76101000|0|500|1.36|100|0|7898472261776|7898472261776
652|01422|CURVA ELETRODUTO PVC PRETA 90X1||0.86|2.3|167.44|4||||0|500|1.36|100|0||
653|7898131331826|CAIXA P/DISJUNTOR 6 A 8 CANAL|CANAL|16.09|26.9|67.18|1|PC||39259090|0|500|1.36|100|0|7898131331826|7898131331826
654|7898131330393|CENTRINHO P/12 DISJUNTOR CANAL|CANAL*|17.64|35.8|102.95|-2|PC||39259090|0|500|1.36|100|0|7898131330393|7898131330393
655|7898094332083|MARTELO UNHA  BRASFORT 29MM|BRASFORT|23|38|65.22|2|UN||82052000|0|500|1.36|100|0|7898094332083|7898094332083
656|000200|FIO 2,50 P/METRO||0.65|2.4|269.23|-520.5|MT||85444900|0|500|1.36|100|0||
657|000201|ADPTADOR 3/4 KRONA||0.6|1|66.67|16|UN||39174090|0|500|1.36|100|0||
658|000202|BOTA CANO LONGO|||50|0|-3|UN|||0||0|100|0||
659|7894378806530|ESCOVA CARVAO P MAKITA|||7.9|0|-3||||0||0|100|0|7894378806530|7894378806530
660|7897176400641|OLEO DE LINHAÇA 900ML NATRIELLI|LINHAL|15.9|24|50.94|4|UN||27079990|0|500|1.36|100|0|7897176400641|7897176400641
661|0066|ESCADA (3X1) 6DEGRAUS 1,90/3,30MT ZINCADA||132.4|198|49.55|2|||73066100|0|500|1.36|100|0||
662|0067|ESCADA (3X1) 7 DEGRAUS 2,18/3,90MT ZINCADA||147.8|225|52.23|1|||73066100|0|500|1.36|100|0||
663|0068|ESCADA (3X1) 8 DEGRAUS 2,50/4,40MT ZINCADA||167.4|275|64.28|2|||73066100|0|500|1.36|100|0||
664|084|LIXEIRA CALÇADA ALT.1,20XLARG.0,42XCOMP.0,64CM||85|115|35.29|-1|||73066900|0|500|1.36|100|0||
665|7898611091110|NIVEL ALUMINIO 40CM YORAZ||6.99|12.8|83.12|0||||0|500|1.36|100|0|7898611091110|7898611091110
666|78989041274100|MARRETA 3,00 C/CABO MINASUL||38.22|65|70.07|2||||0|500|1.36|100|0|78989041274100|78989041274100
667|7898901274308|MARRETA C/CABO 1,500KG MINASUL|MINASUL|30.29|45.9|51.54|3|UN||82052000|0|500|1.36|100|0|7898901274308|7898901274308
668|7899206165636|NIVEL VERMELHO C/IMA 40CM BESTFER|BESTFER|10.9|22.8|109.17|2|UN||90318099|0|500|1.36|100|0|7899206165636|7899206165636
669|7897613526040|ESPATULA CABO MADEIRA N10 COMPEL|MOMFORT|5.5|8.5|54.55|9|UN||82055900|0|500|1.36|100|0|7897613526040|7897613526040
670|7899206166657|ESGUICHO C/JATO MULTIPLOS 7FU BESTFER|nipocenter|14.5|24.9|71.72|5|UN||84818094|0|500|1.36|100|0|7899206166657|7899206166657
671|7897613526057|ESPATULA CABO AÇO COMPEL 12|COMPEL|4.6|8.9|93.48|-2|UN||82055900|0|500|1.36|100|0|7897613526057|7897613526057
672|7899206171835|MISTURADOR DE TINTA P/FURADEIRA||15.5|24|54.84|1||||0|500|1.36|100|0|7899206171835|7899206171835
673|7897613524022|DESEMPENADEIRA AÇO LISA COMPEL|COMPEL|6.9|12.9|86.96|11|UN||82055900|0|500|1.36|100|0|7897613524022|7897613524022
674|7894061003246|TORNEIRA P/ JARDIM LUCONI c/ bico movel|6442|2.6|4.8|84.62|7|UN||39259090|0|500|1.36|100|0|7894061003246|7894061003246
675|0003|TORNEIRA COZINHA LUCONI ABS BRANCA||2.1|4.5|114.29|4||||0|500|1.36|100|0||
676|7898479251770|PORTA SHAMPOO BRANCO GLOBALPLASTIC||11.9|23.9|100.84|1||||0|500|1.36|100|0|7898479251770|7898479251770
677|7899206132898|CHAVE P/MANDRIL 3/8 10MM - 1/2 13MM- BESTFER|BESTFER|4.5|9.9|120|5|UN||84669340|0|500|1.36|100|0|7899206132898|7899206132898
678|7899206158430|KIT SOQUETE C/CATRACA BESTFER|BESTFER|35.9|58.9|64.07|2|UN||82042000|0|500|1.36|100|0|7899206158430|7899206158430
679|7898008874579|RESISTENCIA GORDUCHA 4T 220V X 5400 SIMILAR WR|WR|6.9|15.8|128.99|0|UN||25202000|0|500|1.36|100|0|7898008874579|7898008874579
680|7899206166794|LINHA DE PEDREIRO TRADICIONAL 50MT BESTFER|BESTFER|2.3|4|73.91|-14|UN||56074900|0|500|1.36|100|0|7899206166794|7899206166794
681|7899206170852|FERRO DE SOLDA 40W-220V  BESTFER||19.9|30|50.75|0|||73072300|0|500|1.36|100|0|7899206170845|7899206170845
682|7898550254249|BLUKIT VALV. ALTERNADORA PRESSAO P/CX. D'AGUA|330601|95|142.99|50.52|2|UN||84818099|0|500|1.36|100|0|7898550254249|7898550254249
683|028|SPUUD||0.85|2|135.29|0||||0|500|1.36|100|0||
684|7891738019449|PREGO CABEÇA DUPLA 18X27 GERDAU|GERDAU|18.36|25.9|41.07|2|KG||73170090|0|500|1.36|100|0|7891738019449|7891738019449
685|7892183419235|TRENA EMBORRACHADA  JOMARCA COM 5 MTS|JOMARCA|6.4|13.5|110.94|2|UN||90178010|0|500|1.36|100|0|7892183419235|7892183419235
686|000203|DESEMPENADEIRA MADEIRA Nº 18||7.4|12|62.16|2||||0|500|1.36|100|0||
687|000204|BUCHA 12 BRANCA IV|||0.8|0|-39||||0||0|100|0||
688|7897901803426|PIGMENTO EM PO  JUNTALIDER - VERMELHO|JUNTALIDER|5.13|12.5|143.66|2|UN||32064990|0|500|1.36|100|0|7897901803426|7897901803426
689|000205|PONTALETS DE EUCALIPTO 3MT PÇ||3.3|11.9|260.61|194|||44071100|0|500|1.36|100|0||
690|7896202400761|GRELA PLASTICA ABRE E FECHA   OVERTAME|JAPONES|2.3|5|117.39|-9|UN||39124090|0|500|1.36|100|0|7896202400761|7896202400761
692|7898901338048|MARRETA 2 KG TEKFUND COM CABO|TEKFUND|24.57|40|62.8|2|UN||82052000|0|500|1.36|100|0|7898901338048|7898901338048
693|2150511111110|ESQUADRO CABO METAL JOMARCA 30CM||6.94|12.8|84.44|2|||85444200|0|500|1.36|100|0|2150511111110|2150511111110
695|7897684010035|NIVEL DE MADEIRA BAMBU 35CM|ATAC|7.2|16.8|133.33|4|UN||90153000|0|500|1.36|100|0|7897684010035|7897684010035
696|7898901338215|MACHADINHA CABO MADEIRA S/UNHA TERKFUND|TEKFUND|16.87|31.9|89.09|2|UN||82014000|0|500|1.36|100|0|7898901338215|7898901338215
697|7898176403182|FACAO SCHNEIDER 18 CABO PRETO|M***M|18.23|36.5|100.22|1|UN||82019000|0|500|1.36|100|0|7898176403182|7898176403182
698|7898176403199|FACAO SCHNEIDER 20 CABO PRETO|SCHNEIDER|21.13|44.8|112.02|2|UN||81011000|0|500|1.36|100|0|7898176403199|7898176403199
699|7897852600198|ROLO PARA TEXTURA BAIXA  23CM REDAM||5.2|10.9|109.62|-1|UN||96034010|0|500|1.36|100|0|7897852600198|7897852600198
700|000206|ROLO TEXTURA CABELO ANJO 23CM||15.9|31.8|100|2||||0|500|1.36|100|0||
701|7897852600204|ROLO DE LA SINTETICO  05 CM REDAM|REDAM|2.25|4.5|100|-6|UN||96034090|0|500|1.36|100|0|7897852600204|7897852600204
702|7899206117246|ALICATE REBITADOR   BESTFER|BESTEFER|19.9|35|75.88|3|UN||82055900|0|500|1.36|100|0|7899206117246|7899206117246
703|7898414113651|REGISTRO PRESSAO 3/4 C-50 FURKIN|Furkin|31.95|45.8|43.35|0|PC||84811000|0|500|1.36|100|0|7898414113651|7898414113651
704|7898642790068|LUVA AMARELA MELFI MULTIUSO LATEX  M 8"|MELFI|3.5|5.5|57.14|30||||0|500|1.36|100|0|7898642790068|7898642790068
705|7898596680620|BROCA CHATA PARA MADEIRA 1' - SAMAFER||4.5|9|100|2|UN||82075011|0|500|1.36|100|0|7898596680620|7898596680620
706|7898247871995|TORNEIRA PAREDE GOURMET 3/4X1/2 ABS HIDROPAL||19.9|39.9|100.5|1||||0|500|1.36|100|0|7898247871995|7898247871995
707|7898596680569|BROCA CHATA  1/2 SAMAFER||3.7|7.8|110.81|-2|UN||82075019|0|500|1.36|100|0|7898596680569|7898596680569
708|7898901274087|MARRETA 1,00KG C/CABO MINASUL|minasul|20.55|31.9|55.23|3|UN||82052000|0|500|1.36|100|0|7898901274087|7898901274087
709|7898100554911|PENEIRA SAO JORGE PLASTICA ARROZ 55|Peneira|14.9|22.9|53.69|4|UN||96040000|0|500|1.36|100|0|7898100554911|7898100554911
710|7891117048695|PA DE BICO N-3 TRAMONTINA CONSTRUCAO|TRAMONTINA|33|52.8|60|6|UN||82011000|0|500|1.36|100|0|7891117048695|7891117048695
711|7896603802515|FITA CREPE 24 X 50 ADELBRAS (MEDIA)|ADELBRAS|4.2|6.5|54.76|14|UND||48114110|0|500|1.36|100|0|7896193321212|7896193321212
712|7897119063148|FILTRO DE LINHA  A. SANTOS||20|34|70|0|UN||39241000|0|500|1.36|100|0|7897119063148|7897119063148
713|7897572190504|DESEMPENADEIRA DE AÇO 12X25 CM LISA FERTEK||6.8|12.8|88.24|-4|UN|||0|500|1.36|100|0|7897572190504|7897572190504
714|7897381902732|PUXADOR DE PORTA ALÇA PEQUENO MILL|MILL|3.2|6.8|112.5|5|CART|||0|500|1.36|100|0|7897381901087|7897381901087
715|7898505860495|TRENA METRICA  5M X 25M IDEA|IDEA|5.2|13.5|159.62|1|UND||84818095|0|500|1.36|100|0|7898505860495|7898505860495
716|7898577530128|TOMADA RADIAL POLLAR 1 P 1T 2P+T 10A|RADIAL|3.2|7.8|143.75|-25|UN||85366910|0|500|1.36|100|0|7898577530128|7898577530128
717|1694|SOLEIRA GRAN.PRETO S.GABRIEL 0,82X0,14||20.99|39|85.8|-9||||0|500|1.36|100|0||
718|000207|PORTA PALHETA 2,10X80 ALUMINIO BRANCO||290|350|20.69|-2||||0|500|1.36|100|0||
719|17897613520007|APLICADOR DE MASSA COMPEL|COMPEL|0.96|2.5|160.42|4|||64062000|0|500|1.36|100|0|17897613520007|17897613520007
721|7899206169931|MINI BOMBA DE BICICLETA BESTFER||13.98|22.8|63.09|-2|||84248990|0|500|1.36|100|0|7899206169931|7899206169931
722|7898188099977|BALDE PINTURA 15 LT METASUL 15L|CENTER FERTIN|8.69|15|72.61|-1|UN||39259090|0|500|1.36|100|0|7898188099977|7898188099977
723|7898094332151|CHAVE ALLEN - C/ 06 PCS - BRASFORT|Brasfort|3.89|8.9|128.79|1|JG||82054000|0|500|1.36|100|0|7898094332151|7898094332151
724|7898573001684|KIT VARÃO CORTINA 19MM - 1,50MT IMBUIA  CADIZ|CADIZ|7.96|14.5|82.16|3|UN||76090000|0|500|1.36|100|0|7898573001684|7898573001684
727|7898573000229|KIT SIMPLES 2,00 MT BRANCO ALUMARK|GARF0X|9.6|18.9|96.87|4|UND||72169900|0|500|1.36|100|0|7898573000229|7898573000229
728|000208|METRO TUBO 100 ESGOTO||6.8|15.8|132.35|-31|MT||39172300|0|500|1.36|100|0||
730|7890801006768|ARAME ENCARTELADO N 16 RECOFER ROLO COM 10MT|RECOFER|7.4|11.8|59.46|7|CARTELA||72172090|0|500|1.36|100|0|7890801006768|7890801006768
731|000209|BICO P/TORNEIRA METAL ZAMAC||2.33|4.5|93.13|19|UN|||0|500|1.36|100|0||
732|7897801300834|ENGATE FLEXIVEL 40CM KRONA|KRONA|2.4|4.8|100|32|UN||39174090|0|500|1.36|100|0||
733|000211|TEE AZUL 3/4X1/2 KRONA C/BUCHA LATÃO||6.22|9.8|57.56|26|||39174090|0|500|1.36|100|0||
734|000212|PLUG ROSCAVEL 1/2 KRONA/FORTLEV||0.45|1|122.22|-1|||73079200|0|500|1.36|100|0||
735|000213|ADAPTADOR 3/4 ROSCA KRONA||0.5|1.2|140|-73|||39174090|0|500|1.36|100|0||
736|7898223580910|REGISTRO DE GAVETA BRUTO 3/4 FURKIN 1509|FURKIN|23|36.8|60|4|UN||84818093|0||0|100|0|7898223580910|7898223580910
737|000214|TEE SOLD. RED.  1.1/2X3/4  KRONA/FORTLEV||6.79|12.9|89.99|15|UN||73079200|0|500|1.36|100|0||
738|7897381902015|GANCHO P/ REDE ENVELOPADO MILL|MILL|25|42.5|70|12|cart||73181300|0|500|1.36|100|0|7897381902015|7897381902015
739|7898596680521|BROCA CHATA 1/4" SAMAFER|SAMAFER|4.5|6.9|53.33|5|UN||82075011|0|500|1.36|100|0|7898596680521|7898596680521
740|7896202400907|GRELHA INOX ROTATIVA 100mm  REDONDA overtime 10cm|OVERTIME|4|6.9|72.5|4|un||84179000|0|500|1.36|100|0|7896202400907|7896202400907
741|7898584926655|VOLANTE C-50 LEVE C/CANOPLA FURKIN||10.8|18.8|74.07|1||||0|500|1.36|100|0|7898584926655|7898584926655
742|7899932001482|VEDA ROSCA 50MT FERJA|FERJA|2.3|4.5|95.65|19|UN||39211900|0|500|1.36|100|0|7899932001482|7899932001482
743|7897801300551|COTOVELO AZUL 3/4X1/2  FORTLEV/KRONA|plastubos|4.7|7.8|65.96|-21|UN||39174090|0|500|1.36|100|0|7897801300551|7897801300551
744|7891738342929|ARAME GALVANIZADO N 14 GERDAU|GERDAU|20.65|32.5|57.38|4|KG||72172090|0|500|1.36|100|0|7891738342929|7891738342929
745|325|PNEU 3,25/8 - COLSON||19.25|30|55.84|3|||40118090|0|500|1.36|100|0||
746|4001000343|GRELHA CONJ. ALUMINIO POLIDO 15X50||31.28|46.9|49.94|-1|||76071110|0|500|1.36|100|0||
747|7898357410015|COLA TUDO GARIN 17G|WINSTON 260|2.9|5.8|100|4|UN||32082020|0|500|1.36|100|0|7898357410015|7898357410015
748|7899206175970|MASCARA DE PROTECÃO S/VALVULA  BESTFER||1.2|2.5|108.33|-17|UN|||0|500|1.36|100|0|7899206175970|7899206175970
749|7899206175987|MASCARA DE PROTEÇÃO C/ VALVULA BESTFER||1.6|4|150|-14||||0|500|1.36|100|0|7899206175987|7899206175987
750|7898943364036|ALICATE DE BICO MEIA CANA 6'' MELFI|MELFI|15.9|25.9|62.89|3|UN||82032010|0|500|1.36|100|0|7899206166206|7899206166206
751|8787|PREGO 13X15 C/CABEÇA  1KG gerdau|GERDAU|21.73|28.5|31.16|5|KG||73170090|0|500|1.36|100|0|7891738018794|7891738018794
752|7898943819994|TORNEIRA DOAN B/MOVEL PLAST CROMADO CRUZETA|DOAN|21.9|38.5|75.8|0|UN||84818019|0|500|1.36|100|0|7898943819994|7898943819994
753|7898247876976|TORNEIRA C/FILTRO PVC GIRATORIA HIDROPAL|HIDROPAL|42.8|65|51.87|1|UN||84818019|0|500|1.36|100|0|7898247876976|7898247876976
754|7898596680705|BROCA VIDEA SDS  8X160MM  SAMAFER|SAMAFER|4.35|8.9|104.6|2|||82075011|0|500|1.36|100|0|7898596680705|7898596680705
755|7899206131198|COLHER DE PEDREIRO 7" BESTFER|BESTFER|6.5|13.5|107.69|-1|UN||82055900|0|500|1.36|100|0|7899206131198|7899206131198
756|000215|CESTA ARO ALUMINIO GR CANÃA||0.9|1.8|100|4|UN|||0|500|1.36|100|0||
757|7898596680750|BROCA DE WIDEA SDS PLUS12MMX160||5.79|11.9|105.53|2|UN|||0|500|1.36|100|0|7898596680750|7898596680750
758|7898943364692|CHAVE PHILLIPS CR-V 3/16 X 4 VD MELFI 10645|MELFI|3.57|7|96.08|-19|||82054000|0|500|1.36|100|0|7898943364692|7898943364692
759|7898921610506|ENGATE RAPIDO PLASMANG|PLASMANG|5|7.9|58|4|UN||39174090|0|500|1.36|100|0|7898921610506|7898921610506
760|78792183217268|BROCA 3 PONTAS P/ MADEIRA 4,00MM JOMARCA|JOMARCA|1.76|3|70.45|7|||84100084|0|500|1.36|100|0||
762|7893479144756|CAVADEIRA CORTE RETO S/CABO PANDOLFO grande|12/12/12|52|98.9|90.19|2|UN||82011000|0|500|1.36|100|0|7893479144756|7893479144756
763|000217|CONDUITE 3/4 ALADDIN MT||0.5|2.8|460|-2.8|MT||39172300|0|500|1.36|100|0||
764|7897321123920|BIANCO 3,6 KG  VEDACIT|VEDACIT|68.58|102.9|50.04|2|UN||35069120|0|500|1.36|100|0|7897321123920|7897321123920
765|7897321117844|VEDACIT GALAO 3,600|VEDACIT|27.71|48|73.22|0|UN||38244000|0|500|1.36|100|0|7897321117844|7897321117844
766|7893858001014|CADEADO STAM 25MM|STAM|8.4|17.5|108.33|9|UN||83011000|0|500|1.36|100|0|7893858001014|7893858001014
767|7893858000079|CADEADO STAM 20MM|STAM|8.66|14|61.66|9|UN||83011000|0|500|1.36|100|0|7893858000079|7893858000079
768|7894061001518|ARMARIO BANHEIRO BRANCO LUCONI|LUCONI|28.5|40|40.35|1|UN||39229000|0|500|1.36|100|0|7894061001518|7894061001518
769|7898933860050|PA DE LIXO PLAST LONGA|PAULISTA|2.5|4.5|80|-17|un||96031000|0|500|1.36|100|0|7898933860050|7898933860050
771|7898131331857|CENTRO 12 DISJUNTOR PLAS BRANCO CANAL|CANAL|22.48|41|82.38|0|UN||39259090|0|500|1.36|100|0|7898131331857|7898131331857
772|7899433608517|LAMPADA COMP. FLC 25X200V|7898039261539|8.9|18.5|107.87|2|UN||85393100|0|500|1.36|100|0|7899433608517|7899433608517
773|000219|LONA PLASTICA 4X100 LEVE PRETA||0.85|3.5|311.76|-162.5|MT|||0|500|1.36|100|0||
774|7898917588116|PALHA DE ACO N° 2 VEGA|VEGA|1.49|2.3|54.36|39|UN||73231000|0|500|1.36|100|0|7897133600077|7897133600077
775|2820451800770|BLOCO DE (09X19X39)  CONCRETO ||1.48|1.99|34.46|-179|UN||68101100|0|500|0|100|0||
776|000221|TUBO 50 ESGOTO 2° LINHA IMBER 6MT||23.9|42|75.73|-2|UN||39172300|0|500|1.36|100|0||
777|000222|TE 75X75 ESGOTO KRONA||7.5|11.8|57.33|-10||||0||0|100|0||
778|000223|LUVA ESG.  75MM  KRONA/FORTLEV||4.75|7.3|53.68|25|UN||39174090|0|500|1.36|100|0||
779|2820451801234|REDUCAO ESG 75X50 KRONA||7.49|13.5|80.24|38|UN||39174090|0|500|1.36|100|0||
780|7898640060378|REGISTRO DE PRESSAO C 64 SAO PAULO|METALUGICA SAO PAULO|24.8|38.9|56.85|-1|UN|||0||0|100|0|7898640060378|7898640060378
782|7897381900530|FECHO CHATO 00 ZINC. MILL|MILL|2.3|4.9|113.04|4|CART||83015000|0|500|1.36|100|0|7897381900530|7897381900530
783|0226|TUBO 100  ESGOTO 4P 2º LINHA IMBER 6MT||34.95|64.9|85.69|-26|BR||39172300|0|500|1.36|100|0||
785|000228|SERRA CIRCULAR DE WIDEA  7'' PEGAFER||24.9|40.8|63.86|2|UN|||0|500|1.36|100|0||
786|000229|JUNCAO ESG 75X75  KRONA/FORTLEV ||15.49|26.8|73.01|20|UN||39174090|0|500|1.36|100|0||
787|000230|BARRA FERRO 3/16-4,2mm 12MT gvb||22.2|34.8|56.76|6|UN||72131000|0|500|1.36|100|0||
788|2820451800930|METRO MANGUEIRA DE NIVEL ||1.2|2.4|100|190|MT||39173900|0|500|1.36|100|0||
789|000232|CONJ. GRELHA ALUMINIO POLIDO  15X100||31.28|80|155.75|0|UN|||0||0|100|0||
790|000233|CONJ. GRELHA 20X100 ALUMINIO POLIDO||76.54|135|76.38|3|UN||76071110|0|500|1.36|100|0||
791|000234|CONJ.GRELHA 10X100 ALUMINIO POLIDO||45.28|68|50.18|-1||||0||0|100|0||
792|000235|CONJ. GRELHA 20X50 ALUMINIO POLIDO||38|57|50|1||||0||0|100|0||
793|000236|CABO ENXADA 1,50 CAIPIRA||4.5|10|122.22|-3||||0||0|100|0||
794|7898414113460|TORNEIRA MAQ LAVAR DN 3/4 FURKIN|Furkin|31.8|45.5|43.08|2|PC||84818019|0|500|1.36|100|0|7898414113460|7898414113460
795|000237|1/4 AREIA MEDIA/GROSSA/FINA||24|40|66.67|978|UN||25051000|0|500|1.36|100|0||
796|7891738018855|PREGO 15X15 C/CABEÇA GERDAU|GERDAU|19.59|26.8|36.8|2|KG||73170090|0|500|1.36|100|0||
797|7898247878895|Torneira Lav ABS Bica Mov Cr 5195 1/2 HIDROPAL||21|35|66.67|0|UN||84818019|0|500|1.36|100|0|7898247878895|7898247878895
798|7899206137565|BROCA P/ MADEIRA MOURAO GROSSA BESTFER|BESTFER|8.9|20|124.72|3|UN||82075011|0|500|1.36|100|0|7899206137565|7899206137565
799|1689997318862|DISCO FLAP SAMURAI 115X22MM 4,1/2X7/8''||4.5|9|100|2||||0|500|1.36|100|0||
800|7899206126071|MULTIMETRO DIGITAL BESTFER|BESTFER|22.9|34.9|52.4|4|UN||90303100|0|500|1.36|100|0|7899206126071|7899206126071
801|7899206171507|BOCAL COM RABICHO BESTFER SOQUETE |BESTFER|2.9|4.9|68.97|19|UN||31600080|0|500|1.36|100|0|7899206171507|7899206171507
802|7899206166671|UNIAO PARA MANGUEIRA 3X5CM BESTFER|BESTFER|3.25|5.5|69.23|6|PC||39174090|0|500|1.36|100|0|7899206166671|7899206166671
803|7898008870083|RESISTENCIA CORONA SS 5400W/220V WR|WR|4.9|9.8|100|0|PC||85168010|0|500|1.36|100|0|7898008870083|7898008870083
804|7899612796790|ESTILETE SIMPLES SPARTA||2.5|6|140|2|||82119390|0|500|1.36|100|0|7899612796790|7899612796790
805|7898921610483|ESGUICHO SIMPLES PLASMANG|PLASMANG|1.6|4.8|200|2|UN||84249010|0|500|1.36|100|0|7898921610483|7898921610483
806|7899206135134|ABRACADEIRA NYLON 2,5X100MM PRETO BFH0742|Bestfer|4|8|100|0|UN||39269090|0|500|1.36|100|0|7899206135134|7899206135134
