Controle|Código|Produto|Fabricante|Preço Custo|Preço Venda|Lucro|Quantidade|Unidade|Obs|NCM|IPI|CST|ICMS|Base Cálculo|iva_st|cean|ceantrib
55|7896094575004|GRAXA GRAXAX 500G GRAFITADA GARIN|GARIN|9.6|16.9|76.04|-1|UN||27101932|0|500|1.36|100|0|7896094575004|7896094575004
56|7897176401204|REMOVEDOR DE TINTA/TEXTURAS 900ML NATRIELLI|NATRIELLI|20.35|31.9|56.76|1|UN||27109900|0|500|1.36|100|0|7897176401204|7897176401204
57|7899674009753|OLEO LUBRIFICANTE PROTEG LUB 250ML|DASTON LTDA|5.5|9.9|80|7|UN||27101932|0|500|1.36|100|0|7899674009753|7899674009753
59|7896516409542|ESMALTE SINT. 225ML BRANCO IRAJÁ|IRAJA|5.98|13.9|132.44|7|UN||32089010|0|500|1.36|100|0|7896516409542|7896516409542
61|789761350327|PINCEL 3/4 COMPEL||1.3|2.8|115.38|-15|UN|||0||0|100|0||
62|7897369811780|CORDA VARAL N10 10MT EXTR POLIFORT|POLIFORT|2|4.5|125|-31|UN||56074900|0|102|1.36|100|0|7897369811780|7897369811780
63|7891323075249|CORANTE XADREZ MARROM 50ML|XADREZ|4.15|6.5|56.63|14|UN||32041700|0|500|1.36|100|0|7891323075249|7891323075249
64|7891323075232|CORANTE XADREZ OCRE 50 ML|XADREZ|4.15|6.5|56.63|11|UN||32041700|0|500|1.36|100|0|7891323075232|7891323075232
65|7891323075225|CORANTE XADREZ LARANJA 50ML|Xadrez|4.15|6.5|56.63|4|un||32129000|0|500|1.36|100|0|7891323075225|7891323075225
66|7891323075294|CORANTE XADREZ VIOLETA 50ML |SHARWIN WILLIANS|4.15|6.5|56.63|13|UN||32041700|0|500|1.36|100|0|7891323075294|7891323075294
67|7898640061313|TORNEIRA COZINHA PAREDE GOURMET SAO PAULO|FILTRO SAO PAULO|47.97|87.5|82.41|0|UN||84819090|0|102|1.36|100|0|7898640061313|7898640061313
68|7898954369426|TORNEIRA JARDIM CURTA 1/2X3/4 C-20 CROMADA|SAO PAULO|12.71|21|65.22|1|UN||85167990|0|500|1.36|100|0|7898954369426|7898954369426
69|7898640060323|REGISTRO FSP-60 GAVETA  C-50 SAO PAULO|SAO PAULO|69.19|112|61.87|-1|UN||84818093|0|102|1.36|100|0|7898640060323|7898640060323
70|7898640060279|EXTENSOR MEDIO FSP-50 SAO PAULO|SAO PAULO|7.26|13.9|91.46|-1|UN||89818019|0|102|1.36|100|0|7898640060279|7898640060279
71|7898954369464|VOLANTE CROMADO C-23 METAL SAO PAULO|FILTROS SAO PAULO|3.91|7.5|91.82|4|||89818019|0|500|1.36|100|0|7898954369464|7898954369464
72|99|VIAGEM AREIA MEDIA/GROSSA/FINA 5MTS|ITAQUA AREIA|380|690|81.58|-17|M3||25051000|0|500|1.36|100|0||
73|000100|MT PEDRISCO  M3|EMBU|69|142|105.8|2.5|M3||25051000|0|500|1.36|100|0||
74|7898276630082|KIT REGULADOR GAS C/ MANG 0,80M COMPLETO IMAR|Imar|29.9|45.8|53.18|6|UN||84811000|0|500|1.36|100|0|7898276630082|7898276630082
75|7891071011407|DUCHA CORONA SS 220V/5200W HYDRA|HYDRA |29.89|46.9|56.91|4|UN||85161000|0|500|1.36|100|0|7891071011407|7891071011407
76|7898641150153|DISJUNTOR BIPOLAR 32A ELITEK|ELITEK|21.9|39|78.08|2|||85362000|0|500|1.36|100|0|7898641150153|7898641150153
77|7891284056264|FITA ISOLANTE 5MT LORENZETTI|LORENZETTI|1.69|3.8999|130.77|8|un||39191000|0|500|1.36|100|0|7896451857040|7896451857040
